"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"23","Kurk Lee","PG","Baltimore, MDSt. Frances Academy","5'9''","160","57","Drexel","kurk-lee","https://www.sports-reference.com/cbb/players/kurk-lee-1.html"
"24","Randy Miller","SG","Odenton, MDMount St. Joseph High School","6'3''","175","57","Mt. St. Mary's","randy-miller","https://www.sports-reference.com/cbb/players/randy-miller-1.html"
"1","Bruce Brown","SG","Wakefield, MAVermont Academy","6'4''","200","92","Miami","bruce-brown","https://www.sports-reference.com/cbb/players/bruce-brown-1.html"
"2","Chris Baldwin","PF","Springfield, MANotre Dame Prep","6'8''","230","80","UMass","chris-baldwin","https://www.sports-reference.com/cbb/players/chris-baldwin-1.html"
"3","A.J. Brodeur","PF","Northborough, MANorthfield-Mt. Hermon School","6'8''","","76","Pennsylvania","aj-brodeur","https://www.sports-reference.com/cbb/players/aj-brodeur-1.html"
"4","Unique McLean","SG","Granby, MAThe MacDuffie School","6'1''","170","75","UMass","unique-mclean","https://www.sports-reference.com/cbb/players/unique-mclean-1.html"
"5","Saul Phiri","SF","Bradford, MAWorcester Academy","6'4''","210","73","La Salle","saul-phiri","https://www.sports-reference.com/cbb/players/saul-phiri-1.html"
"6","Mark Gasperini","C","Brookline, MABrimmer & May","6'9''","","64","American","mark-gasperini","https://www.sports-reference.com/cbb/players/mark-gasperini-1.html"
"7","B.J. Martin","PF","Waltham, MATilton School","6'6''","210","64","Rice","bj-martin","https://www.sports-reference.com/cbb/players/bj-martin-1.html"
"8","Ikenna Ndugba","PG","Boston, MABrooks School","6'1''","180","59","Bryant","ikenna-ndugba","https://www.sports-reference.com/cbb/players/ikenna-ndugba-1.html"
"9","Danny Evans","PG","Andover, MAPhillips Academy","6'4''","","58","Maine","danny-evans","https://www.sports-reference.com/cbb/players/danny-evans-1.html"
"1","Josh Jackson","SF","Southfield, MIProlific Prep","6'7''","185","97","Kansas","josh-jackson","https://www.sports-reference.com/cbb/players/josh-jackson-1.html"
"2","Miles Bridges","SF","Flint, MIHuntington Prep","6'7''","225","96","Michigan St","miles-bridges","https://www.sports-reference.com/cbb/players/miles-bridges-1.html"
