"National.Ranking.espn","Name.espn","Position.espn","Hometown.High.School","Height","Weight","Rating.espn","School","player.id","bball.ref.link.espn","Previous.National.Ranking","Name.247","Hometown","Position.247","Height.Weight","Rating.247","All Ratings","National.Ranking.247","Position.Ranking","State.Ranking","bball.ref.link.247","Name","Position","Height.Weight","Hometown","High.School","College"
38,"Makai Ashton-Langford","PG","Worcester, MABrewster Academy","6'2''",185,89,"Providence","makai-ashton-langford","https://www.sports-reference.com/cbb/players/makai-ashton-langford-1.html",44,"Makai Ashton-Langford","Brewster Academy (Worcester, MA)","PG","6-1 / 180",0.9848,"41 9 1",41,9,1,"https://www.sports-reference.com/cbb/players/makai-ashton-langford-1.html","Makai Ashton-Langford","        Guard  ","6-3, 185lb (190cm, 83kg) ","   Worcester, MA","   Brewster Academy","Providence"
39,"Lindell Wigginton","SG","Dartmouth, N.S., CANOak Hill Academy","6'1''",165,89,"Iowa State","lindell-wigginton","https://www.sports-reference.com/cbb/players/lindell-wigginton-1.html",47,"Lindell Wigginton","Oak Hill Academy (Mouth Of Wilson, VA)","PG","6-1 / 175",0.9869,"35 8 2",35,8,2,"https://www.sports-reference.com/cbb/players/lindell-wigginton-1.html","Lindell Wigginton","        Guard  ","6-2, 188lb (188cm, 85kg) ","   Dartmouth, Canada","   Oak Hill Academy","Iowa State"
40,"Rayshaun Hammonds","SF","Norcross, GANorcross High School","6'8''",215,88,"Georgia","rayshaun-hammonds","https://www.sports-reference.com/cbb/players/rayshaun-hammonds-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rayshaun Hammonds","        Forward  ","6-8, 227lb (203cm, 102kg) ","   Norcross, GA","   Norcross High School","Georgia"
43,"Emmanuel Akot","SF","Winnipeg, MB, CANWasatch Academy","6'8''",185,88,"Arizona","emmanuel-akot","https://www.sports-reference.com/cbb/players/emmanuel-akot-1.html",28,"Emmanuel Akot","Wasatch Academy (Mount Pleasant, UT)","SF","6-7 / 190",0.9913,"24 7 1",24,7,1,"https://www.sports-reference.com/cbb/players/emmanuel-akot-1.html","Emmanuel Akot","        Guard  ","6-7, 200lb (201cm, 90kg) ","   Winnipeg, Canada","   Wasatch Academy","Arizona"
44,"Kezie Okpala","SF","Anaheim, CAEsperanza High School","6'8''",195,88,"Stanford","kezie-okpala","https://www.sports-reference.com/cbb/players/kezie-okpala-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kezie Okpala","        Forward  ","6-8, 195lb (203cm, 88kg) ","   Orange County, CA","   Esperanza High School","Stanford"
45,"Cody Riley","PF","Chatsworth, CASierra Canyon High School","6'8''",240,88,"UCLA","cody-riley","https://www.sports-reference.com/cbb/players/cody-riley-1.html",74,"Cody Riley","Sierra Canyon (Chatsworth, CA)","PF","6-7 / 200",0.9818,"48 13 8",48,13,8,"https://www.sports-reference.com/cbb/players/cody-riley-1.html","Cody Riley","        Forward  ","6-10, 265lb (208cm, 120kg) ","   Kansas City, KS","   Sierra Canyon HS","UCLA"
46,"Jeremiah Tilmon","C","East Saint Louis, ILEast St. Louis High School","6'10''",215,88,"Missouri","jeremiah-tilmon","https://www.sports-reference.com/cbb/players/jeremiah-tilmon-1.html",42,"Jeremiah Tilmon","East St. Louis (East Saint Louis, IL)","PF","6-10.5 / 258",0.9845,"43 12 1",43,12,1,"https://www.sports-reference.com/cbb/players/jeremiah-tilmon-1.html","Jeremiah Tilmon","        Forward  ","6-10, 252lb (208cm, 114kg) ","   East St. Louis, IL","   La Lumiere School","Missouri"
49,"Jalen Hill","C","Corona, CACentennial High School","6'8''",220,86,"UCLA","jalen-hill","https://www.sports-reference.com/cbb/players/jalen-hill-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jalen Hill","        Guard  ","6-10, 230lb (208cm, 104kg) ","   Corona, CA","   Centennial HS","UCLA"
50,"Chuma Okeke","PF","Atlanta, GAWestlake High School","6'8''",221,86,"Auburn","chuma-okeke","https://www.sports-reference.com/cbb/players/chuma-okeke-1.html",60,"Chuma Okeke","Westlake (Fairburn, GA)","SF","6-7 / 225",0.982,"47 10 4",47,10,4,"https://www.sports-reference.com/cbb/players/chuma-okeke-1.html","Chuma Okeke","        Forward  ","6-8, 230lb (203cm, 104kg) ","   Atlanta, GA","   Westlake High School","Auburn"
51,"Jordan Poole","SG","Milwaukee, WILa Lumiere School","6'5''",185,86,"Michigan","jordan-poole","https://www.sports-reference.com/cbb/players/jordan-poole-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jordan Poole","        Guard  ","6-4, 190lb (193cm, 86kg) ","   Milwaukee, WI","   La Lumiere School","Michigan"
52,"Jermaine Samuels","SF","Franklin, MAThe Rivers School","6'5''",205,86,"Villanova","jermaine-samuels","https://www.sports-reference.com/cbb/players/jermaine-samuels-1.html",40,"Jermaine Samuels","The Rivers School (Weston, MA)","SF","6-6 / 190",0.9832,"46 9 1",46,9,1,"https://www.sports-reference.com/cbb/players/jermaine-samuels-1.html","Jermaine Samuels","        Forward  ","6-5, 225lb (196cm, 102kg) ","   Franklin, MA","   Rivers School","Villanova"
53,"D.J. Harvey Jr.","SF","Bowie, MDDeMatha Catholic High School","6'6''",205,86,"Notre Dame","dj-harveyjr","https://www.sports-reference.com/cbb/players/dj-harveyjr-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D.J. Harvey","        Guard  ","6-6, 220lb (198cm, 99kg) ","   Bowie, MD","   DeMatha Catholic High School","Notre Dame"
