"Previous.National.Ranking","Name","Hometown","Position","Height.Weight","Rating","All Ratings","National.Ranking","Position.Ranking","State.Ranking","player.id","Season"
"46","Kevin Marfo"," Worcester Academy (Oradell, NJ)  "," PF "," 6-8 / 240 ","89"," 190 46 8 ","190","46","8","kevin-marfo",2016
"34","Dylan Painter"," Hershey (Hershey, PA)  "," PF "," 6-10 / 230 ","89"," 136 34 4 ","136","34","4","dylan-painter",2016
"35","Eddie Ekiyor"," New Hampton School (New Hampton, NH)  "," PF "," 6-9 / 220 ","89"," 141 35 3 ","141","35","3","eddie-ekiyor",2016
"24","Trevor Stanback"," Maranatha (West Hills, CA)  "," PF "," 6-9 / 215 ","89"," 110 24 7 ","110","24","7","trevor-stanback",2016
"51","Daron Henson"," Bishop Alemany (Mission Hills, CA)  "," PF "," 6-8 / 180 ","89"," 209 51 17 ","209","51","17","daron-henson",2016
"45","Papa Ndiaye"," Quality Education Academy (Winston Salem, NC)  "," PF "," 6-9 / 215 ","89"," 189 45 6 ","189","45","6","papa-ndiaye",2016
"38","Corey Manigault"," Paul VI Catholic (Fairfax, VA)  "," PF "," 6-8 / 230 ","89"," 153 38 10 ","153","38","10","corey-manigault",2016
"23","Chris Lewis"," Milton (Alpharetta, GA)  "," PF "," 6-8 / 205 ","89"," 108 23 7 ","108","23","7","chris-lewis",2016
"44","Chris Baldwin"," Notre Dame Preparatory School (Springfield, MA)  "," PF "," 6-7 / 230 ","89"," 185 44 4 ","185","44","4","chris-baldwin",2016
"59","John Fulkerson"," Christ School (Arden, NC)  "," PF "," 6-8 / 190 ","89"," 238 59 9 ","238","59","9","john-fulkerson",2016
"39","Sagaba Konate"," Kennedy Catholic (Hermitage, PA)  "," PF "," 6-8 / 220 ","89"," 156 39 5 ","156","39","5","sagaba-konate",2016
"50","Maciej Bender"," Mountain Mission School (Grundy, VA)  "," PF "," 6-10 / 235 ","89"," 208 50 16 ","208","50","16","maciej-bender",2016
"48","Darius Hicks"," 22 Feet Academy  (Quitman, MS)  "," PF "," 6-7 / 210 ","88"," 198 48 3 ","198","48","3","darius-hicks",2016
"63","Harrison Henderson"," South Grand Prairie (Dallas, TX)  "," PF "," 6-9 / 200 ","88"," 265 63 17 ","265","63","17","harrison-henderson",2016
"47","Grant Williams"," Providence Day School (Charlotte, NC)  "," PF "," 6-7 / 235 ","88"," 191 47 7 ","191","47","7","grant-williams",2016
"41","Lucas Siewert"," Cathedral (Los Angeles, CA)  "," PF "," 6-10 / 230 ","88"," 167 41 12 ","167","41","12","lucas-siewert",2016
"33","Robert Baker"," The Walker School (Marietta, GA)  "," PF "," 6-10 / 185 ","88"," 132 33 9 ","132","33","9","robert-baker",2016
"43","Jeriah Horne"," The Barstow School (Kansas City, MO)  "," PF "," 6-7 / 210 ","88"," 176 43 4 ","176","43","4","jeriah-horne",2016
"29","Jalen McDaniels"," Todd Beamer (Federal Way, WA)  "," PF "," 6-8 / 190 ","88"," 120 29 4 ","120","29","4","jalen-mcdaniels",2016
"67","A.J. Brodeur"," Northfield Mount Hermon (Northborough, MA)  "," PF "," 6-8 / 195 ","87"," 277 67 7 ","277","67","7","aj-brodeur",2016
"54","Ben Kone"," Archbishop Mitty (San Jose, CA)  "," PF "," 6-9 / 240 ","87"," 224 54 21 ","224","54","21","ben-kone",2016
"52","Mitchell Smith"," Van Buren (Van Buren, AR)  "," PF "," 6-9 / 180 ","87"," 212 52 4 ","212","52","4","mitchell-smith",2016
"49","Anfernee McLemore"," Worth County (Sylvester, GA)  "," PF "," 6-8 / 210 ","87"," 206 49 13 ","206","49","13","anfernee-mclemore",2016
"56","Cordell Pemsl"," Wahlert Catholic (Dubuque, IA)  "," PF "," 6-7 / 230 ","87"," 230 56 1 ","230","56","1","cordell-pemsl",2016
"60","Khadim Sy"," Oak Hill Academy (Mouth Of Wilson, VA)  "," PF "," 6-9 / 225 ","86"," 253 60 22 ","253","60","22","khadim-sy",2016
"61","Nick Rakocevic"," St. Joseph (Westchester, IL)  "," PF "," 6-10 / 210 ","86"," 258 61 7 ","258","61","7","nick-rakocevic",2016
"65","Donovan Mitchell"," Buchanan (Clovis, CA)  "," PF "," 6-8 / 190 ","86"," 269 65 26 ","269","65","26","donovan-mitchell",2016
"72","E.J. Datcher"," Vincent Middle Sch (Vincent, AL)  "," PF "," 6-9 / 250 ","86"," 300 72 4 ","300","72","4","ej-datcher",2016
"90","Maik Kotsar"," Sunrise Christian (Wichita, KS)  "," PF "," 6-9 / 220 ","86"," 406 90 4 ","406","90","4","maik-kotsar",2016
"71","Kouat Noi"," Montverde Academy (Montverde, FL)  "," PF "," 6-7 / 205 ","86"," 298 71 18 ","298","71","18","kouat-noi",2016
"69","Eric Vila"," Spain (Spain, SPAI)  "," PF "," 6-11 / 206 ","86"," 283 69 1 ","283","69","1","eric-vila",2016
"70","Dontay Bassett"," Oldsmar Christian School (Oldsmar, FL)  "," PF "," 6-8 / 210 ","85"," 290 70 16 ","290","70","16","dontay-bassett",2016
"92","Anthony Lamb"," Athena (Rochester, NY)  "," PF "," 6-6 / - ","85"," 412 92 11 ","412","92","11","anthony-lamb",2016
"73","Chris Clerkley"," Perry (Perry, GA)  "," PF "," 6-9 / 210 ","85"," 302 73 16 ","302","73","16","chris-clerkley",2016
"74","Algevon Eichelberger"," Saginaw (Saginaw, MI)  "," PF "," 6-6 / 210 ","85"," 303 74 5 ","303","74","5","algevon-eichelberger",2016
"64","Mike Layssard Jr."," Northwood (Shreveport, LA)  "," PF "," 6-9 / 270 ","85"," 267 64 10 ","267","64","10","mike-layssardjr",2016
"58","Issa Thiam"," Arlington Country Day School (Jacksonville, FL)  "," PF "," 6-9 / 185 ","85"," 237 58 12 ","237","58","12","issa-thiam",2016
"62","Joe Hampton"," Oak Hill Academy (Hyattsville, MD)  "," PF "," 6-8 / 250 ","84"," 263 62 4 ","263","62","4","joe-hampton",2016
"88","Rojaye Campbell"," Long Island Lutheran (Glen Head, NY)  "," PF "," 6-9 / - ","84"," 400 88 8 ","400","88","8","rojaye-campbell",2016
"55","Kenneth Wooten"," Manteca (Manteca, CA)  "," PF "," 6-7 / 210 ","84"," 227 55 22 ","227","55","22","kenneth-wooten",2016
"93","Kevin Morris"," Dothan (Dothan, AL)  "," PF "," 6-8 / 230 ","84"," 413 93 8 ","413","93","8","kevin-morris",2016
"89","Arnaldo Toro"," St Benedict's Preparatory School (Newark, NJ)  "," PF "," 6-9 / 235 ","84"," 402 89 12 ","402","89","12","arnaldo-toro",2016
"75","Nik Popovic"," The Sagemont School (Fort Lauderdale, FL)  "," PF "," 6-10 / 230 ","84"," 310 75 20 ","310","75","20","nik-popovic",2016
"78","Cyril Langevine"," St. Patrick (East Orange, NJ)  "," PF "," 6-8 / 225 ","83"," 326 78 11 ","326","78","11","cyril-langevine",2016
"77","Austin Meyer"," Mustang (Mustang, OK)  "," PF "," 6-9 / 210 ","83"," 321 77 5 ","321","77","5","austin-meyer",2016
"68","Reed Nikko"," Maple Grove (Osseo, MN)  "," PF "," 6-9 / 210 ","83"," 281 68 4 ","281","68","4","reed-nikko",2016
"91","Carson Williams"," Owen County (Owenton, KY)  "," PF "," 6-5 / 185 ","83"," 411 91 3 ","411","91","3","carson-williams",2016
"87","James Love"," American Heritage (Fort Lauderdale, FL)  "," PF "," 6-10 / 205 ","82"," 393 87 26 ","393","87","26","james-love",2016
"94","Ryan Gomes"," Friends School Of Baltimore (Baltimore, MD)  "," PF "," 6-10 / 215 ","79"," 422 94 9 ","422","94","9","ryan-gomes",2016
"1","Marques Bolden"," DeSoto (DeSoto, TX)  "," C "," 6-11 / 250 ","98"," 14 1 2 ","14","1","2","marques-bolden",2016
"4","Zach Collins"," Bishop Gorman (Las Vegas, NV)  "," C "," 6-10 / 210 ","98"," 30 4 1 ","30","4","1","zach-collins",2016
"8","Omer Yurtseven"," Fenerbahce Basketbol Subesi (Istanbul, IS)  "," C "," 7-0 / 240 ","98"," 55 8 1 ","55","8","1","omer-yurtseven",2016
"2","Omari Spellman"," MacDuffie School (North Royalton, OH)  "," C "," 6-9 / 269 ","98"," 20 2 1 ","20","2","1","omari-spellman",2016
"3","Tony Bradley"," Bartow (Bartow, FL)  "," C "," 6-10 / 235 ","97"," 25 3 2 ","25","3","2","tony-bradley",2016
"5","Udoka Azubuike"," The Potter's House Christian Academy (Jacksonville, FL)  "," C "," 6-11 / 265 ","97"," 33 5 4 ","33","5","4","udoka-azubuike",2016
"7","Schnider Herard"," Prestonwood Christian (Plano, TX)  "," C "," 6-10 / 240 ","96"," 47 7 7 ","47","7","7","schnider-herard",2016
"12","Jayce Johnson"," Santa Monica (Santa Monica, CA)  "," C "," 6-11 / 225 ","95"," 87 12 4 ","87","12","4","jayce-johnson",2016
"11","Taurean Thompson"," Brewster Academy (Wolfeboro, NH)  "," C "," 6-9 / 200 ","94"," 74 11 1 ","74","11","1","taurean-thompson",2016
"9","James Banks"," La Lumiere School (La Porte, IN)  "," C "," 6-10 / 230 ","93"," 63 9 2 ","63","9","2","james-banks",2016
"6","Ike Anigbogu"," Centennial (Corona, CA)  "," C "," 6-9 / 230 ","91"," 46 6 3 ","46","6","3","ike-anigbogu",2016
"23","Samuel Japhet-Mathias"," London Academy (London, EN)  "," C "," 6-10 / 280 ","91"," 170 23 1 ","170","23","1","samuel-japhet-mathias",2016
"10","Derek Funderburk"," St. Edward (Lakewood, OH)  "," C "," 6-9 / 210 ","90"," 73 10 8 ","73","10","8","derek-funderburk",2016
"18","Rodney Miller"," Oak Hill Academy (New York, NY)  "," C "," 6-11 / 220 ","90"," 150 18 9 ","150","18","9","rodney-miller",2016
"16","Harry Froling"," Australian Institute of Sport (Canberra, SW)  "," C "," 6-9 / 230 ","90"," 131 16 1 ","131","16","1","harry-froling",2016
"24","Austin Davis"," Onsted Community (Onsted, MI)  "," C "," 6-10 / 240 ","90"," 177 24 3 ","177","24","3","austin-davis",2016
"13","Jethro Tshisumpa"," Mountain Mission School (Grundy, VA)  "," C "," 6-9 / 250 ","89"," 101 13 6 ","101","13","6","jethro-tshisumpa",2016
"14","Joey Brunk"," Southport (Indianapolis, IN)  "," C "," 6-9 / 225 ","89"," 107 14 3 ","107","14","3","joey-brunk",2016
"17","Jon Teske"," Medina (Medina, OH)  "," C "," 6-11 / 210 ","89"," 142 17 10 ","142","17","10","jon-teske",2016
"25","Nate Morris"," Lancaster (Lancaster, TX)  "," C "," 6-9 / 240 ","89"," 186 25 13 ","186","25","13","nate-morris",2016
"21","Jordy Tshimanga"," MacDuffie School (Granby, MA)  "," C "," 6-11 / 270 ","89"," 161 21 3 ","161","21","3","jordy-tshimanga",2016
"22","Cheickna Dembele"," Scotland Performance Institute (SCOTLAND, PA)  "," C "," 6-11 / 220 ","89"," 168 22 6 ","168","22","6","cheickna-dembele",2016
"15","Abdul Ado"," Hamilton Heights Christian Academy (Chattanooga, TN)  "," C "," 6-11 / 235 ","89"," 119 15 3 ","119","15","3","abdul-ado",2016
"20","Sam Timmins"," Otago Boys' (Dunedin, NZ)  "," C "," 6-10 / 250 ","89"," 158 20 1 ","158","20","1","sam-timmins",2016
"19","Barret Benson"," Hinsdale South (Darien, IL)  "," C "," 6-9 / 240 ","89"," 151 19 5 ","151","19","5","barret-benson",2016
"30","Brock Bertram"," Apple Valley (Saint Paul, MN)  "," C "," 6-11 / 240 ","89"," 268 30 3 ","268","30","3","brock-bertram",2016
"26","Nysier Brooks"," Life Center Academy (Burlington, NJ)  "," C "," 6-9 / 200 ","88"," 213 26 9 ","213","26","9","nysier-brooks",2016
"27","Matt Freeman"," Westlake Boys (Auckland, AC)  "," C "," 6-10 / 212 ","88"," 220 27 1 ","220","27","1","matt-freeman",2016
"28","Micah Potter"," Mentor (Mentor, OH)  "," C "," 6-10 / 245 ","86"," 243 28 16 ","243","28","16","micah-potter",2016
"29","Gorjok Gak"," Victory Rock Prep (Bradenton, FL)  "," C "," 6-10 / 205 ","86"," 248 29 13 ","248","29","13","gorjok-gak",2016
"34","Raekwon Long"," Garinger (Charlotte, NC)  "," C "," 7-0 / 250 ","86"," 296 34 12 ","296","34","12","raekwon-long",2016
"40","Khadim Gueye"," Victory Rock Prep (Bradenton, FL)  "," C "," 7-1 / 220 ","86"," 385 40 25 ","385","40","25","khadim-gueye",2016
"32","Henry Welsh"," Loyola (Los Angeles, CA)  "," C "," 6-10 / 235 ","86"," 285 32 28 ","285","32","28","henry-welsh",2016
"41","Sam Ibiezugbe"," The Master's School (West Simsbury, CT)  "," C "," 6-10 / 230 ","85"," 395 41 8 ","395","41","8","sam-ibiezugbe",2016
"42","Damion Moore"," Callaway (Jackson, MS)  "," C "," 6-10 / 225 ","85"," 397 42 5 ","397","42","5","damion-moore",2016
"43","Kalif Young"," Orangeville Prep (Mono, ON)  "," C "," 6-9 / 225 ","85"," 398 43 4 ","398","43","4","kalif-young",2016
"31","Levi Cook"," Elev8 Sports Institute (Glen Daniel, WV)  "," C "," 6-10 / 305 ","85"," 284 31 14 ","284","31","14","levi-cook",2016
"33","Michael Tertsea"," John Carroll School (Bel Air, MD)  "," C "," 6-11 / 210 ","84"," 287 33 6 ","287","33","6","michael-tertsea",2016
"1","Collin Sexton"," Pebblebrook (Mableton, GA)  "," PG "," 6-2 / 182 ","100"," 5 1 1 ","5","1","1","collin-sexton",2017
"2","Trevon Duval"," IMG Academy (Bradenton, FL)  "," PG "," 6-3 / 190 ","99"," 6 2 1 ","6","2","1","trevon-duval",2017
