"","#","Name","GP","GS","MIN","MPG","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","RPG","OFF","DEF","REB","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF"
"762",NA,"Corey Romich",2,NA,NA,NA,12.5,0,0,0,0,0,0,3,3,1,25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763",NA,"Bailey Patella",2,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764",NA,"Pat Fisher",1,NA,NA,NA,15,0,0,0,0,0,0,0,0,0,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765",22,"Will Brady",1,NA,NA,NA,14,0,0,0,0,0,0,0,0,0,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766",34,"Marcos Santos-Silva",1,NA,NA,NA,14,0,0,0,0,0,0,0,0,0,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767",NA,"Bruce Brown",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,0,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768",NA,"Tyrique Jones",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,0,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769",NA,"Christian David",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770",NA,"Bailey Patella",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771",NA,"Pat Fisher",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772",34,"Marcos Santos-Silva",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773",NA,"Bruce Brown",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,5,0,0,5,0.6,0,0,0,0,0
"774",22,"Will Brady",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,0,0,0,0
"775",NA,"Pat Fisher",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,0
"776",NA,"Tyrique Jones",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,2,12,6,0,0,0
"777",4,"Greg Bowie",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778",4,"Greg Bowie",9,NA,NA,NA,25.4,0,0,0,0,0,0,0,0,0,229,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779",14,"D'Shawn Coleman",6,NA,NA,NA,15.7,0,0,0,0,0,0,0,0,0,94,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780",24,"DeMarcus Hartfield",5,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,65,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781",3,"Deonte Wilson",5,NA,NA,NA,12.8,0,0,0,0,0,0,0,0,0,64,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782",35,"Brandon Carter",4,NA,NA,NA,12.2,0,0,0,0,0,0,0,0,0,49,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783",2,"Taizel Cooper",3,NA,NA,NA,15.7,0,0,0,0,0,0,0,0,0,47,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"784",NA,"Matt Carnahan",1,NA,NA,NA,14,0,0,0,0,0,0,0,0,0,14,14,NA,NA,NA,NA,0,0,0,0,6,6,0,0,0,0,0
"785",NA,"Isaiah Powell",1,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,12,12,11,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786",0,"Alan Hild",1,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787",1,"Adam Gonzales",1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788",4,"Greg Bowie",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,0,0,58,44,6.3,0,0,12,1.7,0,0,0,0,0
"789",24,"DeMarcus Hartfield",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,0,0,17,2,0.5,0,0,4,1,7,1.8,0,0,0
"790",14,"D'Shawn Coleman",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,0,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791",35,"Brandon Carter",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792",2,"Taizel Cooper",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0,0,5,0,0,0,0,3,1.5,0,0,0,0,0
"793",3,"Deonte Wilson",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794",3,"Deonte Wilson",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3,0,0,9,3,0,0,0,0,0
"795",14,"D'Shawn Coleman",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,2.3,9,3,0,0,0
"796",35,"Brandon Carter",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2,1,0,0,0
"797",4,"Greg Bowie",3,NA,NA,NA,25.3,0,0,0,0,0,0,0,0,0,76,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798",24,"DeMarcus Hartfield",2,NA,NA,NA,19.5,0,0,0,0,0,0,0,0,0,39,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799",14,"D'Shawn Coleman",3,NA,NA,NA,10,0,0,0,0,0,0,0,0,0,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800",35,"Brandon Carter",2,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,22,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801",3,"Deonte Wilson",2,NA,NA,NA,6.5,0,0,0,0,0,0,0,0,0,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"802",2,"Taizel Cooper",1,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803",24,"DeMarcus Hartfield",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804",14,"D'Shawn Coleman",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805",4,"Greg Bowie",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806",35,"Brandon Carter",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807",2,"Taizel Cooper",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808",4,"Greg Bowie",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,0,0,0,0,0,0,0,0,0
"809",24,"DeMarcus Hartfield",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,2,1,5,2.5,0,0,0
"810",3,"Deonte Wilson",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,0,1,0.5,0,0,0,0,0
"811",14,"D'Shawn Coleman",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,2,7,3.5,0,0,0
"812",2,"Taizel Cooper",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0
"813",3,"Jayson Hankins",2,1,33,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,4,1,0.5,0,0,0,0,0,0,6,3,0
"814",5,"De'Riante Jenkins",2,1,74,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",10,"Braxton Beverly",2,1,75,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816",40,"Evan Wieck",2,1,48,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",1,"Makale Foreman",1,0,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",3,"Tim Cameron",1,0,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,4,4,0
"819",24,"Derek Funderburk",1,0,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820",32,"Austin Burnette",1,0,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821",12,"Brooks Ely",1,1,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822",NA,"Jeremy Williams",1,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2,2,0
"823",11,"Seth McCoy",1,0,19,19,16,4,7,0.571,4,4,1,4,7,0.571,16,16,3,1,2,3,0,0,1,1,1,1,0,0,1,1,0
"824",20,"Cameron Hedgpath",1,0,20,20,4,2,4,0.5,0,0,0,0,2,0,4,4,4,1,3,4,0,0,0,0,2,2,0,0,0,0,0
"825",10,"Braxton Beverly",4,NA,NA,NA,33,24,60,0.4,8,10,0.8,6,20,0.3,132,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826",5,"De'Riante Jenkins",5,NA,NA,NA,25.4,28,59,0.475,14,15,0.933,8,22,0.364,127,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",24,"Derek Funderburk",2,NA,NA,NA,13.5,10,21,0.476,6,9,0.667,1,2,0.5,27,14,7,4,10,14,0,0,6,3,3,1.5,1,0.5,6,3,0
"828",1,"Makale Foreman",2,NA,NA,NA,10,6,17,0.353,2,3,0.667,6,16,0.375,20,17,NA,NA,NA,NA,1,0.5,3,1.5,2,1,0,0,4,2,0
"829",3,"Jayson Hankins",3,NA,NA,NA,5.3,7,12,0.583,0,0,0,2,5,0.4,16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830",40,"Evan Wieck",3,NA,NA,NA,5.3,7,9,0.778,2,2,1,0,0,0,16,6,2.7,3,5,8,1,0.3,5,1.7,1,0.3,0,0,15,5,0
"831",3,"Tim Cameron",2,NA,NA,NA,7,4,9,0.444,6,6,1,0,4,0,14,14,3,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832",12,"Brooks Ely",2,NA,NA,NA,7,5,8,0.625,0,0,0,4,6,0.667,14,11,2.5,0,5,5,0,0,2,1,1,0.5,0,0,5,2.5,0
"833",32,"Austin Burnette",2,NA,NA,NA,2.5,1,3,0.333,3,4,0.75,0,1,0,5,3,3.5,3,4,7,1,0.5,1,0.5,1,0.5,0,0,5,2.5,0
"834",42,"Iran Bennett",1,NA,NA,NA,2,1,2,0.5,0,2,0,0,0,0,2,2,1,1,0,1,0,0,1,1,0,0,0,0,2,2,0
"835",NA,"Jeremy Williams",2,NA,NA,NA,0,0,2,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836",5,"De'Riante Jenkins",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,4,15,19,7,2.3,4,1.3,7,2.3,1,0.3,9,3,0
"837",10,"Braxton Beverly",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,10,18,15,5,5,1.7,5,1.7,0,0,7,2.3,0
"838",14,"Stephan Borvac",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,0
"839",5,"De'Riante Jenkins",1,NA,NA,NA,23,0,0,0,0,0,0,0,0,0,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840",NA,"Sacha  Killeya-Jones",1,1,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841",NA,"Justice Kithcart",1,1,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842",NA,"Adam Sledd",1,1,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,5,7,0,0,0,0,0,0,1,1,2,2,0
"843",NA,"Kevin Quinn",1,1,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,3,2,2,3,3,1,1,0,0,1,1,0
"844",NA,"Sacha  Killeya-Jones",6,NA,NA,NA,20.7,7,15,0.467,3,7,0.429,0,2,0,124,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"845",NA,"Justice Kithcart",4,NA,NA,NA,22,6,14,0.429,5,7,0.714,3,5,0.6,88,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846",NA,"Adam Sledd",2,NA,NA,NA,6.5,0,1,0,1,5,0.2,0,0,0,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847",NA,"Kevin Quinn",2,NA,NA,NA,6,1,6,0.167,0,0,0,1,6,0.167,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848",NA,"Adnan Arslanagic",1,NA,NA,NA,10,0,0,0,0,0,0,0,0,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"849",NA,"Sacha  Killeya-Jones",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,13,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850",NA,"Justice Kithcart",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,12,8,4,4,2,3,1.5,0,0,5,2.5,0
"851",NA,"Sacha  Killeya-Jones",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,2,0,0,8,2.7,3,1,0
"852",NA,"Justice Kithcart",1,NA,NA,NA,25,0,0,0,0,0,0,0,0,0,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",NA,"Sacha  Killeya-Jones",1,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854",11,"Bryce Aiken",2,2,59,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"855",13,"Cyril Langevine",2,2,48,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856",21,"Bul Ajang",2,0,17,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,2,1,0,0,0,0,2,1,0
"857",4,"Jamir Harris",2,2,53,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858",1,"Marcus McClary",2,2,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859",2,"Jordan Walker",2,0,53,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860",32,"Buay Koka",2,0,7,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861",25,"Fatir Hines",2,2,46,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862",3,"Brandt Roundtree",2,0,10,5,1.5,1,2,0.5,0,0,0,1,2,0.5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"863",33,"Al-Amir Dawes",1,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0
"864",11,"Bryce Aiken",6,NA,NA,NA,15.3,10,26,0.385,6,8,0.75,2,9,0.222,92,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865",13,"Cyril Langevine",5,NA,NA,NA,13.8,19,32,0.594,2,12,0.167,0,0,0,69,22,8.4,9,15,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866",2,"Jordan Walker",5,NA,NA,NA,11,13,26,0.5,3,6,0.5,5,9,0.556,55,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867",4,"Jamir Harris",4,NA,NA,NA,13.2,9,18,0.5,5,6,0.833,5,11,0.455,53,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"868",23,"Nick Richards",2,NA,NA,NA,14.5,0,0,0,0,0,0,0,0,0,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869",1,"Marcus McClary",4,NA,NA,NA,7,3,10,0.3,0,2,0,0,2,0,28,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"870",25,"Fatir Hines",3,NA,NA,NA,5.7,6,9,0.667,0,0,0,0,0,0,17,6,3,2,5,9,1,0.3,0,0,1,0.3,1,0.3,8,2.7,0
"871",21,"Bul Ajang",1,NA,NA,NA,2,1,1,1,0,0,0,0,0,0,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872",4,"Jamir Harris",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,3,3,8,2,0.7,2,0.7,2,0.7,0,0,6,2,0
"873",1,"Marcus McClary",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,9,1,0.3,5,1.7,6,2,0,0,9,3,0
"874",2,"Jordan Walker",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3,4,7,3,1,4,1.3,8,2.7,0,0,3,1,0
"875",23,"Nick Richards",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"876",3,"Brandt Roundtree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,0,0,0,0,0,2,2,0
"877",11,"Bryce Aiken",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.3,4,1.3,3,1,0,0,5,1.7,0
"878",13,"Cyril Langevine",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.2,7,1.8,4,1,4,1,5,1.2,0
"879",32,"Buay Koka",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0
"880",1,"Marcus McClary",1,NA,NA,NA,20,0,0,0,0,0,0,0,0,0,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"881",11,"Bryce Aiken",1,NA,NA,NA,16,0,0,0,0,0,0,0,0,0,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882",NA,"Christian Negron",1,0,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883",NA,"AJ Hunter",1,0,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,7,2,2,2,2,2,2,1,1,1,1,0
"884",NA,"Keyvon Kyles",1,0,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,2,2,2,2,0,0,2,2,0
"885",NA,"AJ Hunter",2,NA,NA,NA,18.5,5,17,0.294,7,7,1,0,0,0,37,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886",NA,"Christian Negron",2,NA,NA,NA,16,4,13,0.308,4,5,0.8,0,3,0,32,20,12.5,1,8,25,4,2,3,1.5,0,0,8,4,4,2,0
"887",NA,"Keyvon Kyles",2,NA,NA,NA,12.5,3,6,0.5,1,2,0.5,2,5,0.4,25,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888",10,"Andre Banton",2,0,26,13,3,3,10,0.3,0,0,0,0,2,0,6,4,2,1,3,4,4,2,3,1.5,0,0,0,0,2,1,0
"889",11,"Hudson Urbanus",2,0,38,19,8.5,6,16,0.375,0,0,0,5,12,0.417,17,11,1.5,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890",20,"Jahmai George",2,0,31,15.5,0,0,6,0,0,0,0,0,3,0,0,0,NA,NA,NA,NA,2,1,2,1,0,0,1,0.5,5,2.5,0
"891",21,"Charles Minlend",2,0,55,27.5,12.5,10,30,0.333,2,4,0.5,3,9,0.333,25,15,2.5,0,5,5,3,1.5,3,1.5,2,1,0,0,2,1,0
"892",22,"Josh Brown",2,0,49,24.5,8.5,5,12,0.417,4,9,0.444,3,9,0.333,17,11,2,1,3,4,1,0.5,2,1,1,0.5,1,0.5,4,2,0
"893",24,"Lewis Freeman",2,0,49,24.5,10.5,8,15,0.533,0,0,0,5,7,0.714,21,13,7,2,12,14,1,0.5,1,0.5,1,0.5,0,0,3,1.5,0
"894",25,"Marcus Larsson",2,0,14,7,5,4,5,0.8,0,0,0,2,3,0.667,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895",30,"Corey Douglas",2,0,52,26,5,5,12,0.417,0,2,0,0,0,0,10,6,9,9,9,18,4,2,2,1,1,0.5,1,0.5,3,1.5,0
"896",40,"Taylor Sweeney",2,0,30,15,3,2,5,0.4,0,0,0,2,5,0.4,6,6,2.5,1,4,5,1,0.5,1,0.5,0,0,0,0,2,1,0
"897",41,"Grant Clarke",2,0,15,7.5,0,0,2,0,0,0,0,0,2,0,0,0,1.5,1,2,3,1,0.5,0,0,0,0,2,1,3,1.5,0
"898",42,"Malik Kuwornu",2,0,33,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,6,1,0.5,0,0,1,0.5,2,1,6,3,0
"899",43,"Eddie Johnson-Clayton",1,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900",42,"Malik Kuwornu",1,NA,NA,NA,6,3,9,0.333,0,0,0,0,0,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901",20,"Jahmai George",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"902",25,"Marcus Larsson",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,2,2,0,0,0,0,1,1,0
"903",11,"Hudson Urbanus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,1,1,0,0,2,2,0
