"","#","Name","GP","GS","MIN","MPG","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","RPG","OFF","DEF","REB","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF"
"2723",4,"Khaleem Bennett",2,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2724",13,"Brown Eyisi",2,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2725",10,"Sekou Toure",1,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2726",1,"Nick Lombard",1,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727",31,"Nathan Mensah",1,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2728",55,"Brandon Kenyon",1,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2729",22,"Henry Attlas",1,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2730",11,"Josh Jackson",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,0,0,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2731",5,"Vance Jackson",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2732",2,"Pierre Crockrell II",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,4,4,2,0,0,0,0,0,0,0,0,0
"2733",3,"Devon Daniels",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,15,10,10,0,0,3,3,0,0,0,0,0
"2734",24,"Abu Kigab",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2735",13,"Brown Eyisi",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2736",23,"Amadou Sow",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,7,0,0,0,0,2,2,0,0,0,0,0
