"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
38,"Alex Copeland","PG","North Hollywood, CAHarvard Westlake High School","6'2''",165,68,"Yale","alex-copeland","https://www.sports-reference.com/cbb/players/alex-copeland-1.html","https://www.sports-reference.com/cbb/players/alex-copeland-1.html","Alex Copeland","        Guard  ","6-3, 175lb (190cm, 79kg) ","   Los Angeles, CA","   Harvard-Westlake School","Yale"
40,"LaRond Williams","PF","Los Angeles, CAPrice High School","6'7''",200,67,"Long Beach St","larond-williams","https://www.sports-reference.com/cbb/players/larond-williams-1.html","https://www.sports-reference.com/cbb/players/larond-williams-1.html","LaRond Williams","        Forward  ","6-9, 200lb (206cm, 90kg) ","   Long Beach, CA","   Price HS","Long Beach State"
41,"Travis Fuller","SF","Carlsbad, CALa Costa Canyon High School","6'7''",195,67,"Brown","travis-fuller","https://www.sports-reference.com/cbb/players/travis-fuller-1.html","https://www.sports-reference.com/cbb/players/travis-fuller-1.html","Travis Fuller","        Forward  ","6-9, 225lb (206cm, 102kg) ","   Encinitas, CA","   La Costa Canyon","Brown"
42,"Dalton Soffer","SG","San Diego, CAPoway High School","6'4''",190,67,"Seton Hall","dalton-soffer","https://www.sports-reference.com/cbb/players/dalton-soffer-1.html","https://www.sports-reference.com/cbb/players/dalton-soffer-1.html","Dalton Soffer","        Guard  ","6-5, 190lb (196cm, 86kg) ","   San Diego, CA","   Poway HS","Seton Hall"
43,"Kyle Leufroy","SG","La Canada, CAProlific Prep","6'2''",170,67,"Lehigh","kyle-leufroy","https://www.sports-reference.com/cbb/players/kyle-leufroy-1.html","https://www.sports-reference.com/cbb/players/kyle-leufroy-1.html","Kyle Leufroy","        Guard  ","6-3, 195lb (190cm, 88kg) ","   Pasadena, CA","   Prolific Prep","Lehigh"
44,"James Washington","PG","Norwalk, CAPrice High School","6'1''",155,67,"American","james-washington","https://www.sports-reference.com/cbb/players/james-washington-1.html","https://www.sports-reference.com/cbb/players/james-washington-2.html","James Washington","        Guard  ","6-1, 160lb (185cm, 72kg) ","   Norwalk, CA","   Frederick K. C. Price III High School","American"
45,"Stone Gettings","PF","Los Angeles, CALoyola High School","6'8''",220,66,"Cornell","stone-gettings","https://www.sports-reference.com/cbb/players/stone-gettings-1.html","https://www.sports-reference.com/cbb/players/stone-gettings-1.html","Stone Gettings","        Forward  ","6-9, 230lb (206cm, 104kg) ","   Malibu, CA","   Loyola High School (CA)","Cornell"
49,"Matt Hauser","SG","Thousand Oaks, CAThousand Oaks High School","6'0''",160,66,"Santa Clara","matt-hauser","https://www.sports-reference.com/cbb/players/matt-hauser-1.html","https://www.sports-reference.com/cbb/players/matt-hauser-1.html","Matt Hauser","        Guard  ","6-2, 170lb (188cm, 77kg) ","   Thousand Oaks, CA","   Thousand Oaks HS","Santa Clara"
1,"Austin Conway","PG","Aurora, COOverland High School","5'9''",165,79,"Wyoming","austin-conway","https://www.sports-reference.com/cbb/players/austin-conway-1.html","https://www.sports-reference.com/cbb/players/austin-conway-1.html","Austin Conway","        Guard  ","5-10, 175lb (178cm, 79kg) ","   Aurora, CO","   Overland HS","Wyoming"
3,"Jake Holtzmann","SF","Parker, COChaparral High School","6'6''",180,69,"Denver","jake-holtzmann","https://www.sports-reference.com/cbb/players/jake-holtzmann-1.html","https://www.sports-reference.com/cbb/players/jake-holtzmann-1.html","Jake Holtzmann","        Guard  ","6-6, 190lb (198cm, 86kg) ","   Parker, CO","   Chaparral HS","Denver"
4,"Zach Pirog","C","Highlands Ranch, COThunderRidge High School","6'9''",200,69,"Omaha","zach-pirog","https://www.sports-reference.com/cbb/players/zach-pirog-1.html","https://www.sports-reference.com/cbb/players/zach-pirog-1.html","Zach Pirog","        Center  ","6-11, 245lb (211cm, 111kg) ","   Highlands Ranch, CO","   ThunderRidge HS","Schools: Omaha and California Baptist"
8,"Brian Carey","PG","Denver, CODenver East High School","5'10''",155,59,"Texas South","brian-carey","https://www.sports-reference.com/cbb/players/brian-carey-1.html","https://www.sports-reference.com/cbb/players/brian-carey-1.html","Brian Carey","        Guard  ","5-9, 160lb (175cm, 72kg) ","   Denver, CO","   Denver East","Texas Southern"
1,"Donovan Mitchell","SG","Greenwich, CTBrewster Academy","6'2''",185,86,"Louisville","donovan-mitchell","https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html","https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html","Donovan Mitchell","        Guard  ","6-3, 210lb (190cm, 95kg) ","   Greenwich, CT","   Brewster Academy (NH)","Louisville"
2,"Steven Enoch","C","Norwalk, CTSt. Thomas More School","6'10''",220,81,"UConn","steven-enoch","https://www.sports-reference.com/cbb/players/steven-enoch-1.html","https://www.sports-reference.com/cbb/players/steven-enoch-1.html","Steven Enoch","        Center-Forward  ","6-10, 260lb (208cm, 117kg) ","   Norwalk, CT","   St. Thomas More HS","Schools: UConn and Louisville"
1,"Donte DiVincenzo","SG","Wilmington, DESalesianum School","6'4''",170,80,"Villanova","donte-divincenzo","https://www.sports-reference.com/cbb/players/donte-divincenzo-1.html","https://www.sports-reference.com/cbb/players/donte-divincenzo-1.html","Donte DiVincenzo","        Guard  ","6-5, 200lb (196cm, 90kg) ","   Wilmington, DE","   Salesianum HS","Villanova"
1,"Dwayne Bacon","SG","Lakeland, FLOak Hill Academy","6'6''",209,91,"Florida St","dwayne-bacon","https://www.sports-reference.com/cbb/players/dwayne-bacon-1.html","https://www.sports-reference.com/cbb/players/dwayne-bacon-1.html","Dwayne Bacon","        Guard  ","6-7, 210lb (201cm, 95kg) ","   Lakeland, FL","   Oak Hill Academy","Florida State"
2,"Antonio Blakeney","SG","Orlando, FLOak Ridge High School","6'4''",170,90,"LSU","antonio-blakeney","https://www.sports-reference.com/cbb/players/antonio-blakeney-1.html","https://www.sports-reference.com/cbb/players/antonio-blakeney-1.html","Antonio Blakeney","        Guard  ","6-4, 186lb (193cm, 84kg) ","   Sarasota, FL","   Oak Ridge HS","LSU"
