"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"34","Tremont Waters","PG","New Haven, CTNotre Dame High School","5'11''","165","89","LSU","tremont-waters","https://www.sports-reference.com/cbb/players/tremont-waters-1.html"
"35","Shai Gilgeous-Alexander","PG","Hamilton, Ontario, CANHamilton Heights Christian Academy","6'5''","185","89","Kentucky","shai-gilgeous-alexander","https://www.sports-reference.com/cbb/players/shai-gilgeous-alexander-1.html"
"36","Nick Weatherspoon","PG","Camden, MSVelma Jackson Magnet High School","6'2''","175","89","Miss. St","nick-weatherspoon","https://www.sports-reference.com/cbb/players/nick-weatherspoon-1.html"
"37","Brandon Randolph","SG","Yonkers, NYWesttown School","6'6''","180","89","Arizona","brandon-randolph","https://www.sports-reference.com/cbb/players/brandon-randolph-1.html"
"38","Makai Ashton-Langford","PG","Worcester, MABrewster Academy","6'2''","185","89","Providence","makai-ashton-langford","https://www.sports-reference.com/cbb/players/makai-ashton-langford-1.html"
"39","Lindell Wigginton","SG","Dartmouth, N.S., CANOak Hill Academy","6'1''","165","89","Iowa State","lindell-wigginton","https://www.sports-reference.com/cbb/players/lindell-wigginton-1.html"
"40","Rayshaun Hammonds","SF","Norcross, GANorcross High School","6'8''","215","88","Georgia","rayshaun-hammonds","https://www.sports-reference.com/cbb/players/rayshaun-hammonds-1.html"
"41","Ethan Thompson","SG","Los Angeles, CABishop Montgomery High School","6'5''","180","88","Oregon St","ethan-thompson","https://www.sports-reference.com/cbb/players/ethan-thompson-1.html"
"42","Jordan Tucker","SF","Marietta, GAWheeler High School","6'7''","207","88","Duke","jordan-tucker","https://www.sports-reference.com/cbb/players/jordan-tucker-1.html"
"43","Emmanuel Akot","SF","Winnipeg, MB, CANWasatch Academy","6'8''","185","88","Arizona","emmanuel-akot","https://www.sports-reference.com/cbb/players/emmanuel-akot-1.html"
"44","Kezie Okpala","SF","Anaheim, CAEsperanza High School","6'8''","195","88","Stanford","kezie-okpala","https://www.sports-reference.com/cbb/players/kezie-okpala-1.html"
"45","Cody Riley","PF","Chatsworth, CASierra Canyon High School","6'8''","240","88","UCLA","cody-riley","https://www.sports-reference.com/cbb/players/cody-riley-1.html"
"46","Jeremiah Tilmon","C","East Saint Louis, ILEast St. Louis High School","6'10''","215","88","Missouri","jeremiah-tilmon","https://www.sports-reference.com/cbb/players/jeremiah-tilmon-1.html"
"47","Dan Gafford","C","El Dorado, AREl Dorado High School","6'10''","220","88","Arkansas","dan-gafford","https://www.sports-reference.com/cbb/players/dan-gafford-1.html"
"48","Chris Lykes","PG","Bowie, MDGonzaga College High School","5'7''","160","87","Miami","chris-lykes","https://www.sports-reference.com/cbb/players/chris-lykes-1.html"
"49","Jalen Hill","C","Corona, CACentennial High School","6'8''","220","86","UCLA","jalen-hill","https://www.sports-reference.com/cbb/players/jalen-hill-1.html"
"50","Chuma Okeke","PF","Atlanta, GAWestlake High School","6'8''","221","86","Auburn","chuma-okeke","https://www.sports-reference.com/cbb/players/chuma-okeke-1.html"
"51","Jordan Poole","SG","Milwaukee, WILa Lumiere School","6'5''","185","86","Michigan","jordan-poole","https://www.sports-reference.com/cbb/players/jordan-poole-1.html"
"52","Jermaine Samuels","SF","Franklin, MAThe Rivers School","6'5''","205","86","Villanova","jermaine-samuels","https://www.sports-reference.com/cbb/players/jermaine-samuels-1.html"
"53","D.J. Harvey Jr.","SF","Bowie, MDDeMatha Catholic High School","6'6''","205","86","Notre Dame","dj-harveyjr","https://www.sports-reference.com/cbb/players/dj-harveyjr-1.html"
"54","Darius Perry","PG","Powder Springs, GAWheeler High School","6'2''","160","86","Louisville","darius-perry","https://www.sports-reference.com/cbb/players/darius-perry-1.html"
"55","Jordan Goodwin","SG","Belleville, ILAlthoff Catholic High School","6'4''","220","86","Saint Louis","jordan-goodwin","https://www.sports-reference.com/cbb/players/jordan-goodwin-1.html"
"56","Jordan Nwora","PF","Buffalo, NYVermont Academy","6'8''","220","86","Louisville","jordan-nwora","https://www.sports-reference.com/cbb/players/jordan-nwora-1.html"
"57","Kimani Lawrence","SF","Providence, RINew Hampton School","6'5''","180","86","Arizona St","kimani-lawrence","https://www.sports-reference.com/cbb/players/kimani-lawrence-1.html"
"58","Khalil Garland","SF","Little Rock, ARParkview Arts & Science Magnet High","6'6''","190","86","Arkansas","khalil-garland","https://www.sports-reference.com/cbb/players/khalil-garland-1.html"
"59","Jaylen Nowell","SG","Seattle, WAGarfield High School","6'5''","191","86","Washington","jaylen-nowell","https://www.sports-reference.com/cbb/players/jaylen-nowell-1.html"
"60","Daejon Davis","SG","Seattle, WAGarfield High School","6'4''","175","86","Stanford","daejon-davis","https://www.sports-reference.com/cbb/players/daejon-davis-1.html"
"61","Terrence Lewis","SF","Milwaukee, WIRiverside University High School","6'5''","195","85","Iowa State","terrence-lewis","https://www.sports-reference.com/cbb/players/terrence-lewis-1.html"
"62","Isaiah Stokes","C","Memphis, TNIMG Academy","6'8''","273","85","Florida","isaiah-stokes","https://www.sports-reference.com/cbb/players/isaiah-stokes-1.html"
"63","Davion Mitchell","PG","Stockbridge, GALiberty County High School","6'2''","195","85","Auburn","davion-mitchell","https://www.sports-reference.com/cbb/players/davion-mitchell-1.html"
"64","Marcus Garrett","PG","Dallas, TXSkyline High School","6'5''","180","85","Kansas","marcus-garrett","https://www.sports-reference.com/cbb/players/marcus-garrett-1.html"
"65","DeAundre Ballard","SG","Atlanta, GASouthwest Atlanta Christian Academy","6'6''","195","85","Florida","deaundre-ballard","https://www.sports-reference.com/cbb/players/deaundre-ballard-1.html"
"66","Jemarl Baker","SG","Eastvale, CARoosevelt High School","6'4''","180","85","Kentucky","jemarl-baker","https://www.sports-reference.com/cbb/players/jemarl-baker-1.html"
"67","Jericho Sims","C","Minneapolis, MNCristo Rey Jesuit High School","6'8''","190","85","Texas","jericho-sims","https://www.sports-reference.com/cbb/players/jericho-sims-1.html"
"68","Isaiah Washington","PG","Bronx, NYSt. Raymond High School","6'1''","160","85","Minnesota","isaiah-washington","https://www.sports-reference.com/cbb/players/isaiah-washington-1.html"
"69","Ira Lee","PF","Los Angeles, CACrossroads School","6'8''","225","85","Arizona","ira-lee","https://www.sports-reference.com/cbb/players/ira-lee-1.html"
"70","Naji Marshall","SF","Greenbelt, MDHargrave Military Academy","6'6''","185","85","Xavier","naji-marshall","https://www.sports-reference.com/cbb/players/naji-marshall-1.html"
"71","D'Shawn Schwartz","SF","Colorado Springs, COSand Creek High School","6'7''","217","85","Colorado","dshawn-schwartz","https://www.sports-reference.com/cbb/players/dshawn-schwartz-1.html"
"72","Kaleb Wesson","C","Westerville, OHWesterville South High School","6'9''","316","85","Ohio State","kaleb-wesson","https://www.sports-reference.com/cbb/players/kaleb-wesson-1.html"
"73","Wabissa Bede","PG","North Andover, MACushing Academy","6'1''","180","84","Virginia Tech","wabissa-bede","https://www.sports-reference.com/cbb/players/wabissa-bede-1.html"
"74","Xavier Tillman","PF","Grand Rapids, MIGrand Rapids Christian High School","6'9''","250","84","Michigan St","xavier-tillman","https://www.sports-reference.com/cbb/players/xavier-tillman-1.html"
"75","Isaiah Livers","PF","Kalamazoo, MIKalamazoo Central High School","6'7''","185","84","Michigan","isaiah-livers","https://www.sports-reference.com/cbb/players/isaiah-livers-1.html"
"76","Zack Dawson","PG","Miami, FLSouth Miami High School","6'3''","180","84","Oklahoma St","zack-dawson","https://www.sports-reference.com/cbb/players/zack-dawson-1.html"
"77","Myles Cale","SG","Middletown, DEAppoquinimink High School","6'4''","195","84","Seton Hall","myles-cale","https://www.sports-reference.com/cbb/players/myles-cale-1.html"
"78","Ty-Shon Alexander","SG","Charlotte, NCOak Hill Academy","6'4''","190","84","Creighton","ty-shon-alexander","https://www.sports-reference.com/cbb/players/ty-shon-alexander-1.html"
"79","Galen Alexander","SF","Lafayette, LALafayette Christian Academy","6'7''","220","84","LSU","galen-alexander","https://www.sports-reference.com/cbb/players/galen-alexander-1.html"
"80","Josh Anderson","SF","Baton Rouge, LAMadison Prep Academy","6'5''","180","84","W Kentucky","josh-anderson","https://www.sports-reference.com/cbb/players/josh-anderson-1.html"
"81","Savion Flagg","SF","Alvin, TXAlvin High School","6'7''","200","84","Texas A&M","savion-flagg","https://www.sports-reference.com/cbb/players/savion-flagg-1.html"
"82","Royce Hamm","PF","Houston, TXAldine High School","6'8''","210","84","Texas","royce-hamm","https://www.sports-reference.com/cbb/players/royce-hamm-1.html"
"83","Ikey Obiagu","C","Atlanta, GAGreenforest Christian Academy","7'0''","245","84","Florida St","ikey-obiagu","https://www.sports-reference.com/cbb/players/ikey-obiagu-1.html"
"84","Nojel Eastern","SG","Evanston, ILEvanston Township High School","6'6''","207","83","Purdue","nojel-eastern","https://www.sports-reference.com/cbb/players/nojel-eastern-1.html"
"85","Remy Martin","PG","Chatsworth, CASierra Canyon High School","6'0''","170","83","Arizona St","remy-martin","https://www.sports-reference.com/cbb/players/remy-martin-1.html"
"86","Nate Reuvers","PF","Lakeville, MNLakeville High School","6'10''","220","83","Wisconsin","nate-reuvers","https://www.sports-reference.com/cbb/players/nate-reuvers-1.html"
"87","Alex O'Connell","SG","Milton, GAMilton High School","6'6''","175","83","Duke","alex-oconnell","https://www.sports-reference.com/cbb/players/alex-oconnell-1.html"
"88","Kyle Young","SF","Massillon, OHJackson High School","6'7''","210","83","Ohio State","kyle-young","https://www.sports-reference.com/cbb/players/kyle-young-1.html"
"89","Victor Bailey Jr.","SG","Austin, TXMcNeil High School","6'3''","175","83","Oregon","victor-baileyjr","https://www.sports-reference.com/cbb/players/victor-baileyjr-1.html"
"90","Hasahn French","PF","Springfield, MACommonwealth Academy","6'7''","230","83","Saint Louis","hasahn-french","https://www.sports-reference.com/cbb/players/hasahn-french-1.html"
"91","Justin Smith","SF","Buffalo Grove, ILAdlai E. Stevenson High School","6'7''","215","83","Indiana","justin-smith","https://www.sports-reference.com/cbb/players/justin-smith-1.html"
"92","Connor McCaffery","SG","Iowa City, IAWest High School","6'6''","195","83","Iowa","connor-mccaffery","https://www.sports-reference.com/cbb/players/connor-mccaffery-1.html"
"93","Da'Monte Williams","SG","Peoria, ILManual High School","6'3''","180","83","Illinois","damonte-williams","https://www.sports-reference.com/cbb/players/damonte-williams-1.html"
"94","Deng Gak","PF","Blairstown, NJBlair Academy","6'10''","195","83","Miami","deng-gak","https://www.sports-reference.com/cbb/players/deng-gak-1.html"
"95","JaMarko Pickett","PF","Washington, DCMassanutten Military Academy","6'7''","160","83","Georgetown","jamarko-pickett","https://www.sports-reference.com/cbb/players/jamarko-pickett-1.html"
"96","Alex Barcello","SG","Phoenix, AZCorona Del Sol High School","6'2''","175","83","Arizona","alex-barcello","https://www.sports-reference.com/cbb/players/alex-barcello-1.html"
"97","Lavar Batts","PG","Concord, NCJ. M. Robinson High School","6'2''","165","83","NC State","lavar-batts","https://www.sports-reference.com/cbb/players/lavar-batts-1.html"
"98","Chase Johnson","PF","Ripley, WVHuntington Prep","6'8''","210","83","Florida","chase-johnson","https://www.sports-reference.com/cbb/players/chase-johnson-1.html"
"99","Blake Harris","PG","Chapel Hill, NCWord of God Christian Academy","6'3''","190","83","Missouri","blake-harris","https://www.sports-reference.com/cbb/players/blake-harris-1.html"
